27,48,55,89,75
38,52,61,43,89
16,39,0,38,82
0,48,35,12,40
49,54,14,5,89
27,22,65,75,4
38,52,82,9,97
38,5,75,64,23
30,62,59,67,25
72,45,29,90,55
20,10,80,98,84
42,67,44,83,29
71,28,93,98,11
31,2,25,56,96
7,48,74,3,52
56,12,0,70,5
58,54,63,56,94
64,11,60,89,71
47,66,0,78,42
27,48,67,39,84
31,72,45,14,12
76,45,34,4,47
99,17,86,4,45
62,60,94,89,53
28,75,6,64,59
84,94,67,5,75
26,43,62,24,18
84,47,98,2,42
46,55,11,58,57
24,65,16,51,50
16,44,95,29,48
86,62,99,8,76
84,56,89,0,73
57,41,59,96,54
33,21,19,3,66
25,98,37,28,71
20,92,73,94,81
93,27,24,38,5
4,51,92,17,96
24,40,4,51,60
20,31,23,58,49
13,14,30,95,91
21,7,10,25,76
12,97,68,32,66
95,60,17,43,81
62,80,57,63,71
84,79,98,72,62
72,56,68,70,36
49,54,77,16,6
68,51,58,78,7
15,51,44,43,16
84,93,22,0,87
16,5,44,86,59
88,18,83,85,16
56,75,63,16,62
89,18,97,58,70
7,45,62,65,24
98,81,54,29,3
31,64,8,77,57
29,38,39,27,98
23,76,61,36,1
6,64,15,90,85
32,24,3,0,99
41,63,57,76,39
84,96,2,92,97
67,54,84,62,29
14,84,38,73,40
21,14,72,76,36
60,91,18,25,11
98,79,26,44,52
11,52,62,20,74
55,56,57,74,11
16,46,70,90,31
97,72,52,32,73
83,78,13,60,45
69,55,36,70,15
63,21,99,59,91
55,7,53,54,61
54,67,26,23,89
18,7,75,0,1
64,96,15,60,49
2,76,3,57,51
13,53,31,27,79
5,8,58,2,71
42,50,76,55,60
51,80,71,58,29
42,86,1,97,27
52,85,34,22,76
7,49,20,13,91
11,45,58,72,94
30,9,27,12,11
64,36,46,78,10
52,72,6,45,92
91,36,52,88,72
0,4,71,31,78
84,3,12,44,57
50,42,31,27,37
10,13,82,97,84
12,28,37,6,97
47,87,86,22,43
27,92,5,10,57
55,13,57,82,0
37,84,99,61,82
0,71,43,23,32
38,62,97,64,26
41,12,54,36,69
67,96,32,54,33
8,67,57,40,66
54,8,40,76,19
9,74,44,95,68
30,68,52,40,62
36,88,71,25,48
26,79,0,83,33
97,25,87,66,62
77,67,18,91,71
25,94,45,97,54
46,53,19,3,59
25,69,7,93,52
21,53,67,54,72
19,42,76,45,37
66,30,58,54,95
47,86,30,49,41
17,6,16,1,74
4,6,18,96,25
9,65,95,56,28
19,53,62,8,6
47,73,75,29,68
17,66,90,88,77
36,99,34,68,46
49,33,15,7,90
9,17,59,25,21
57,49,55,40,42
8,47,32,77,43
94,31,76,32,45
96,41,57,39,16
