36,20,8,16,44
35,4,17,1,23
14,30,42,39,3
47,45,5,46,40
0,35,42,12,25
30,21,29,31,0
5,24,42,20,22
39,26,36,8,21
14,25,6,36,48
0,40,23,25,5
22,40,34,1,0
33,24,38,20,42
21,45,33,16,18
19,5,16,17,47
2,31,21,27,30
20,29,33,16,3
30,8,24,21,17
7,26,16,38,49
49,8,9,10,27
47,37,8,45,34
35,25,21,29,28
10,39,0,18,17
34,39,1,21,3
7,33,27,40,41
40,49,11,37,48
32,29,11,12,42
8,13,3,15,41
40,35,27,30,2
6,2,49,11,45
38,44,46,33,41
22,6,15,27,11
18,45,20,14,8
20,25,4,11,35
49,20,38,5,48
13,36,25,38,6
5,21,0,27,40
46,22,36,47,5
15,23,24,38,21
12,4,17,34,1
39,41,44,42,36
46,8,47,45,29
30,0,26,5,2
33,34,38,43,11
49,4,3,46,2
39,0,25,32,37
43,3,4,0,17
9,39,10,23,21
1,11,24,20,19
49,8,13,21,48
45,39,12,31,29
1,27,40,11,26
1,7,31,35,23
40,48,18,32,13
44,40,21,4,1
0,10,42,32,15
26,6,22,18,41
15,20,37,31,28
32,1,36,19,28
13,15,19,44,38
19,46,41,25,26
20,33,9,19,16
25,38,31,1,0
20,3,36,30,41
40,42,4,37,26
31,15,29,35,17
21,46,35,8,9
40,29,10,4,11
39,43,30,40,0
35,27,26,38,28
5,28,10,34,2
2,21,37,38,29
0,20,27,34,28
23,5,44,9,45
11,30,42,23,38
6,11,43,0,28
6,28,5,32,14
48,9,20,30,18
3,38,22,10,16
43,44,9,30,11
24,10,43,16,3
9,13,14,11,16
33,5,19,37,41
45,24,0,13,21
37,40,13,22,43
39,9,46,23,27
29,26,17,23,1
19,17,1,49,10
34,6,4,9,49
15,39,13,49,21
41,16,40,39,30
19,49,0,4,16
24,15,40,21,49
15,49,19,17,3
36,49,41,28,1
25,9,48,2,24
6,15,42,35,47
18,23,32,25,12
17,23,43,11,8
42,19,46,39,28
20,3,11,49,41
9,48,36,15,25
34,27,42,7,2
4,35,14,40,34
24,18,36,9,39
0,8,23,30,43
9,28,6,11,10
30,2,23,34,1
45,5,26,14,6
45,10,34,29,16
27,5,34,0,29
29,19,23,12,9
44,39,41,25,14
23,9,26,38,3
6,37,16,18,17
29,42,28,46,8
40,5,25,26,48
6,42,1,38,49
36,30,12,25,29
32,4,28,18,2
38,1,47,3,8
15,6,38,41,44
19,10,48,14,40
29,12,8,5,32
18,10,31,41,15
36,33,37,16,15
17,8,19,23,6
31,19,36,24,4
14,28,33,3,37
9,35,29,21,46
49,25,2,17,5
45,27,42,29,40
35,44,32,2,12
22,36,43,28,47
1,18,12,4,43
28,6,1,43,20
11,5,42,39,15
5,21,34,33,11
37,34,21,31,36
7,18,39,47,13
15,24,31,10,41
5,28,38,9,32
10,23,13,21,4
24,0,36,28,29
35,19,46,17,31
1,48,18,17,4
6,18,49,16,43
43,14,5,49,36
0,24,17,26,39
10,19,29,9,43
4,48,24,33,15
18,24,11,23,8
32,5,22,9,23
7,44,4,24,28
19,42,27,31,48
35,17,10,18,25
40,13,43,30,20
5,12,35,32,9
33,18,31,49,34
32,4,39,25,37
36,9,2,34,6
9,44,14,38,35
45,4,30,26,27
8,21,22,14,28
0,15,46,9,23
0,40,13,32,2
25,47,26,31,48
3,22,42,14,13
3,1,0,40,30
44,13,9,27,48
8,25,9,17,39
11,45,21,29,40
49,40,9,44,14
41,34,17,14,15
48,23,24,46,16
17,2,19,43,25
35,4,30,19,47
48,31,40,18,1
46,21,40,23,48
12,47,8,10,31
18,49,34,7,29
3,23,35,34,15
36,26,2,37,12
6,27,18,36,30
17,26,32,0,48
43,4,16,10,26
42,3,17,10,33
16,38,17,44,22
31,24,1,43,44
24,40,8,32,42
30,6,4,16,44
21,3,49,25,2
49,35,36,48,13
26,46,38,18,9
45,16,36,5,11
30,7,10,28,44
49,47,22,40,13
36,12,33,48,13
